,Unnamed: 0,Unnamed: 0.1,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Week_Number,TS,GR,RA,DZ,SN,FG,BR,HZ,FU,SQ,MI,BC,VC
0,0,0,1,2007-05-01,83,50,67,14,51,56,0,2,0448,1849, ,0.00,29.1,29.82,1.7,27,9.2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2007-05-01,84,52,68,14,51,57,0,3,-,-, ,0.00,29.18,29.82,2.7,25,9.6,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,2007-05-02,59,42,51,-3,42,47,14,0,0447,1850,BR,0.00,29.38,30.09,13.0,4,13.4,18,0,0,0,0,0,0,1,0,0,0,0,0,0
3,3,3,2,2007-05-02,60,43,52,-3,42,47,13,0,-,-,BR HZ,0.00,29.44,30.08,13.3,2,13.4,18,0,0,0,0,0,0,1,1,0,0,0,0,0
4,4,4,1,2007-05-03,66,46,56,2,40,48,9,0,0446,1851, ,0.00,29.39,30.12,11.7,7,11.9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,2,2007-05-03,67,48,58,2,40,50,7,0,-,-,HZ,0.00,29.46,30.12,12.9,6,13.2,18,0,0,0,0,0,0,0,1,0,0,0,0,0
6,6,6,1,2007-05-04,66,49,58,4,41,50,7,0,0444,1852,RA,  T,29.31,30.05,10.4,8,10.8,18,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,7,2,2007-05-04,78,51,58,4,42,50,7,0,-,-, ,0.00,29.36,30.04,10.1,7,10.4,18,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,1,2007-05-05,66,53,60,5,38,49,5,0,0443,1853, ,  T,29.4,30.1,11.7,7,12.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,2,2007-05-05,66,54,60,5,39,50,5,0,-,-, ,  T,29.46,30.09,11.2,7,11.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,1,2007-05-06,68,49,59,4,30,46,6,0,0442,1855, ,0.00,29.57,30.29,14.4,11,15.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,2,2007-05-06,68,52,60,4,30,46,5,0,-,-, ,0.00,29.62,30.28,13.8,10,14.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,1,2007-05-07,83,47,65,10,41,54,0,0,0441,1856,RA,  T,29.38,30.12,8.6,18,10.5,19,0,0,1,0,0,0,0,0,0,0,0,0,0
13,13,13,2,2007-05-07,84,50,67,10,39,53,0,2,-,-, ,0.00,29.44,30.12,8.5,17,9.9,19,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,1,2007-05-08,82,54,68,12,58,62,0,3,0439,1857,BR,0.00,29.29,30.03,2.7,11,5.8,19,0,0,0,0,0,0,1,0,0,0,0,0,0
15,15,15,2,2007-05-08,80,60,70,12,57,63,0,5,-,-,HZ,  T,29.36,30.02,2.5,8,5.4,19,0,0,0,0,0,0,0,1,0,0,0,0,0
16,16,16,1,2007-05-09,77,61,69,13,59,63,0,4,0438,1858,BR HZ,0.13,29.21,29.94,3.9,9,6.2,19,0,0,0,0,0,0,1,1,0,0,0,0,0
17,17,17,2,2007-05-09,76,63,70,13,60,63,0,5,-,-,BR HZ,0.02,29.28,29.93,3.9,7,5.9,19,0,0,0,0,0,0,1,1,0,0,0,0,0
18,18,18,1,2007-05-10,84,56,70,14,52,60,0,5,0437,1859,BR,0.00,29.2,29.92,0.7,17,4.1,19,0,0,0,0,0,0,1,0,0,0,0,0,0
19,19,19,2,2007-05-10,83,59,71,14,52,61,0,6,-,-,BR HZ,0.00,29.26,29.91,2.0,9,3.9,19,0,0,0,0,0,0,1,1,0,0,0,0,0
20,20,20,1,2007-05-11,70,51,61,4,42,51,4,0,0436,1860, ,0.00,29.33,30.04,11.3,3,12.9,19,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,2,2007-05-11,73,49,61,4,44,51,4,0,-,-, ,0.00,29.39,30.03,11.7,36,12.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,1,2007-05-12,64,46,55,-2,36,46,10,0,0435,1901, ,0.00,29.49,30.2,12.4,3,12.9,19,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,2,2007-05-12,65,47,56,-2,37,46,9,0,-,-, ,0.00,29.54,30.19,12.7,1,13.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,1,2007-05-13,69,43,56,-2,33,46,9,0,0434,1902, ,0.00,29.49,30.24,6.6,14,8.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,2,2007-05-13,69,44,57,-2,32,46,8,0,-,-, ,0.00,29.55,30.24,6.4,11,7.6,19,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,1,2007-05-14,90,56,73,15,47,59,0,8,0433,1903, ,0.00,29.23,29.97,16.9,21,17.3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,2,2007-05-14,90,54,72,15,45,58,0,7,-,-, ,0.00,29.31,29.98,14.1,21,14.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,1,2007-05-15,80,57,69,11,56,61,0,4,0432,1904,RA BR,0.38,29.13,29.84,8.1,27,12.3,20,0,0,1,0,0,0,1,0,0,0,0,0,0
29,29,29,2,2007-05-15,82,56,69,11,56,61,0,4,-,-,TSRA RA BR,0.60,29.19,29.83,8.1,25,10.8,20,1,0,1,0,0,0,1,0,0,0,0,0,0
30,30,30,1,2007-05-16,66,44,55,-4,43,48,10,0,0431,1905,RA BR,0.14,29.33,30.03,7.8,36,12.2,20,0,0,1,0,0,0,1,0,0,0,0,0,0
31,31,31,2,2007-05-16,64,45,55,-4,42,47,10,0,-,-,RA BR,0.07,29.39,30.03,8.0,36,11.8,20,0,0,1,0,0,0,1,0,0,0,0,0,0
32,32,32,1,2007-05-17,62,43,53,-6,32,43,12,0,0430,1906, ,0.00,29.55,30.27,10.5,3,11.3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,2,2007-05-17,61,44,53,-6,32,43,12,0,-,-, ,0.00,29.62,30.27,11.7,1,12.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,1,2007-05-18,71,42,57,-3,30,46,8,0,0429,1907, ,0.00,29.53,30.25,5.4,25,7.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,35,2,2007-05-18,70,43,57,-3,31,47,8,0,-,-, ,0.00,29.6,30.26,3.4,22,5.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,1,2007-05-19,80,56,68,8,39,53,0,3,0428,1908, ,0.00,29.34,30.08,11.1,24,11.4,20,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,2,2007-05-19,80,56,68,8,37,53,0,3,-,-, ,0.00,29.41,30.08,11.1,23,11.4,20,0,0,0,0,0,0,0,0,0,0,0,0,0
